class,aa_000,ab_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bn_000,bo_000,bp_000,bq_000,br_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cr_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,11850,,404,390,0,0,0,0,0,0,548,84438,459220,220476,12860,4976,352796,0,0,0,0,0,706378,616760,159252,74370,0,0,3076,0,1268,224,0,0,0,0,0,0,168384,511990,102144,0,1212,766,3040,57262,350660,368726,852,0,0,0,258588,260638,92272,57286,43756,31042,26934,11992,10,0,865740,38,26,48,8,352796,9686,86124,72578,,,,,,,,,157600,11849.32,865740,865740,866626,4029,13072,85174,863920,782518,1209600,23626,0,42,0,660270.72,0,121534.08,0,0,0,0,0,46984,169516,438542,119156,7280,1020,20,0,4,865740,,1286,176,4870,54160,33136,300412,380146,8276,56,0,500,748,596598,17656,0,102,0,26,670216,580,150,0,0,0,0,0,0,0,0,4836,5412,1160,0,0,26606,5478,174140,85882,0,0,0,0,0,859.74,424,126208,134514,91274,42018,95208,88120,95264,50614,59248,50,0,0
neg,38182,,2130706432,0,0,0,0,0,0,0,140,79402,1839734,691710,19686,176,1321406,0,0,0,0,0,2315906,2003110,377994,270982,0,0,0,0,890,84,0,0,0,0,0,11762,258922,1713010,647154,0,2760,1542,1880,2226,50938,2570494,1008,0,0,0,841244,600282,238592,188388,165780,147906,204114,244542,0,0,2694266,146,320,40,24,1321406,44274,151480,225864,161520,166540,,,,,,,45960,38181.81,2694266,2694266,2701706,18806,2724,24938,270440,2630848,1209600,98978,0,0,0,2223335.04,0.0,404918.4,10,804,0,0,0,8870,551984,1641702,405988,18358,3812,134,0,10,2694266,,4432,430,128024,177502,161914,1727956,419996,10534,60,0,0,0,0,0,0,0,0,0,0,2086,238,0,0,0,0,0,0,0,0,25766,26082,11270,0,0,43732,16154,6697640,727876,0,0,0,0,8181820,893.88,958,419820,630470,298368,125102,230670,178522,186928,165456,385810,9702,0,0
neg,8,0,2,,0,0,0,0,0,0,4492,1666,1664,0,0,0,1556,0,22,0,1292,2200,12788,12640,14282,46,0,0,0,0,2,4,0,0,0,0,0,0,0,0,7822,0,1844,14,18,20,46,4864,1016,0,0,0,6552,252,68,246,40,500,50,46,68,0,28378,0,4,0,0,1556,112,12706,1518,,,,,,,,,14160,7.16,28378,28378,30750,29,0,2772,28240,7860,1209600,0,,,,1245.12,0,5470.08,0,40,0,0,4426,550,1856,988,2,0,0,0,,106,28378,0,1286,28,258,174,12,2322,3318,408,16,0,,,,,,,,,,36,84,0,0,0,0,0,0,0,0,150,0,0,60,140,26,12,2980,334,0,24,0,0,0,706.74,106,6708,962,28,14,104,6,0,0,0,0,0,0
neg,31890,,36,34,0,0,,,,,,,,,,,2219444,0,228,0,0,0,4687814,4301708,697274,367252,0,0,0,0,114,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384922,1534,2220,396,0,2219444,73612,195086,501700,150640,148520,154560,177200,,,,,64160,31889.71,5384922,5384922,5394534,16260,0,53418,544320,5323904,1209600,139980,0,234,0,2391091.2,1357440.96,1572503.04,0,224,,,,,,,,,,,8,12,5384922,,,,,,,,,,,,32,292,2370510,14024,0,46,0,0,2443314,8826,4280,0,0,150,1357886,0,0,0,0,25294,844,246,0,0,110444,20334,7020,694,0,0,0,0,0,622.3,494,,,,,,,,,,,0,0
neg,28176,,656,,0,0,0,0,0,0,1116,837630,1285332,247474,36068,3276,1011836,0,0,0,0,0,2038838,1651480,490768,339098,0,0,0,0,0,0,0,0,0,0,0,0,2286852,124044,0,0,1304,246,496,127956,1737016,543490,388,0,0,0,908216,487484,166690,133962,124818,128286,176518,270456,14466,0,2530006,122,122,334,0,1011836,32028,239300,248762,214700,256260,,,,,,,15420,28175.32,2530006,2530006,2527730,16927,8078,7682,106140,2410896,1209600,0,,,,1947398.4,0.0,461634.24,0,0,0,0,0,116314,906162,1227652,144556,12550,3434,228,,20,2530006,,3098,368,5732,306462,188440,1402152,493844,10764,36,0,,,,,,,,,,1720,56,0,0,0,0,0,0,0,0,18248,21144,4096,0,0,72842,10008,5735140,631124,0,0,0,0,0,868.3,940,471182,827336,186248,108106,209586,191528,164972,110136,139806,1996,0,0
neg,30752,,3968,3370,0,0,0,0,0,0,220850,2460108,1254182,69258,410,0,1711612,8496,0,0,1984,5642,3205236,2325128,1097092,738914,0,0,9238,0,8180,374,0,0,0,0,0,0,3888938,115870,0,0,3940,2014,2564,14228,2407204,1518768,56088,2,0,0,1805540,820924,269750,202086,165968,151130,196584,298952,92482,1392,4305710,0,154,260,36,1711612,64128,424630,665510,292320,306180,327960,,,,,,158140,30751.46,4305710,4305710,4275080,23748,14308,57016,664220,4004808,1209600,162532,2,258,0,2993256.0,0.0,1006907.52,0,0,0,0,4726,266286,1681352,1699382,311850,34012,6710,490,82,112,4305710,,9086,1320,164158,643608,240486,1603914,1304062,37754,420,0,6852,1758,1312350,60254,0,7124,0,18,3071246,5414,1724,0,0,0,0,0,0,0,0,42550,36024,9776,0,0,105496,19480,28709480,3248308,0,0,0,0,0,2482.1,2728,1034834,1715246,557918,210654,288452,125658,49200,14918,7896,32,0,0
neg,40186,,994,924,0,0,0,0,0,0,26432,236644,1629972,943576,112682,11910,1244520,0,0,0,736,1184,2625386,2236668,679562,314912,0,0,5738,0,2512,360,0,0,0,0,0,108948,1780610,703294,368364,0,2966,2420,5270,379828,2126482,444230,20,0,0,0,1199066,605538,234228,178472,153400,146204,182902,261404,2,0,3306388,130,1322,2460,16,1244520,36104,419694,258966,256780,274160,,,,,,,142060,40185.21,3306388,3306388,3300008,18330,5612,84478,879200,2961216,1209600,96408,2,64,0,2428137.6,33536.64,497426.88,0,0,0,0,2768,69728,468340,1507028,838088,67744,6978,542,14,20,3306388,,4688,556,108728,301230,171408,2024418,335906,14208,74,0,1404,1176,2048686,213418,0,47972,0,18,2460250,2178,144,0,0,340,33906,0,0,0,0,21470,27710,6798,0,0,84416,14198,1104660,213728,1214116,8108,0,0,1122820,1291.12,1326,558892,531520,387336,200648,443600,520024,275394,35736,8066,0,0,0
neg,59944,,974,770,0,0,0,0,0,0,239808,1855616,1015224,166296,2016,0,1868598,0,0,0,0,0,2796010,2322570,629580,438538,0,0,0,0,966,258,0,0,0,0,0,92794,1302516,940338,943312,0,2282,576,692,754,28878,3245454,324,0,0,0,856140,883048,408692,319926,261544,392128,157482,0,0,0,3425856,0,450,640,0,1868598,69926,281062,347214,221780,217240,,,,,,,186880,59943.58,3425856,3425856,3428218,20889,22818,98144,1002360,3278960,1209600,64234,0,60,0,2885088.96,0.0,391371.84,0,210,0,0,23384,992572,1473044,684946,98780,4706,1478,50,6,22,3425856,,3700,356,80430,266544,122650,1699032,1085638,20140,470,0,848,358,2023420,99384,0,394,0,0,2898200,1832,634,0,0,0,0,0,0,0,0,37160,54044,10576,0,0,73420,14550,910360,176810,0,0,0,0,4899250,748.6,844,407660,325800,324740,166630,364762,329768,361058,295072,613434,90036,0,0
neg,28848,,424,392,0,0,0,0,0,0,302,315074,1337400,453758,23956,3814,854556,0,0,0,0,0,1908734,1638482,342548,207688,0,0,0,0,1852,304,0,0,0,0,0,10,1738052,396240,2,0,2124,852,1046,5928,1505554,618248,552,0,0,0,845956,364076,171496,142104,136420,131430,196856,145966,0,0,2251940,20,212,98,10,854556,23436,180802,160112,198780,,,,,,,,137500,28848.01,2251940,2251940,2239218,14282,264,99910,1034640,2134304,1209600,68502,2,90,0,1892897.28,0.0,239532.48,0,0,0,0,0,33382,676692,1247212,161146,12460,3032,380,8,22,2251940,,4096,626,36842,84590,89322,1482116,408468,27938,304,2,500,852,1902982,41696,0,144,0,16,1922952,1806,122,0,0,0,0,0,0,0,0,15552,48260,15538,0,0,24144,4842,7593300,764462,363276,8380,0,0,200980,1206.08,1316,260530,428460,373082,297898,682988,66160,24194,820,172,0,0,0
neg,32082,,554,508,0,0,0,0,0,0,35222,544430,1584230,127204,8222,3584,1020420,0,0,0,310,466,2227028,2089844,205896,93584,0,0,0,0,2088,322,28350,12486,68712,81454,68000,181498,315318,959242,587832,0,1362,550,852,10768,983766,1303460,2134,0,0,0,611402,885054,286512,164492,112122,85614,81474,71642,4578,2,2433640,172,514,1922,10,1020420,17046,120236,84712,76560,116600,,,,,,,8660,32082.77,2433640,2433640,2412818,11252,946,119960,8660,2302892,1209600,65610,0,56,0,2083175.04,5.76,217970.88,0,0,0,0,2604,194082,1251760,800826,46404,6080,1094,42,2,8,2433640,,2640,374,19558,141712,62472,1515012,533416,27310,398,0,830,998,2020406,281604,0,2454,0,70,2101672,1508,130,0,0,0,12,0,0,0,0,9020,8110,1530,0,0,51868,11152,492880,56618,530560,10928,0,0,11579170,783.36,838,238178,527372,424124,248738,549778,265594,33852,10812,4444,0,0,0
