class,aa_000,ac_000,ad_000,ae_000,af_000,ag_000,ag_001,ag_002,ag_003,ag_004,ag_005,ag_006,ag_007,ag_008,ag_009,ah_000,ai_000,aj_000,ak_000,al_000,am_0,an_000,ao_000,ap_000,aq_000,ar_000,as_000,at_000,au_000,av_000,ax_000,ay_000,ay_001,ay_002,ay_003,ay_004,ay_005,ay_006,ay_007,ay_008,ay_009,az_000,az_001,az_002,az_003,az_004,az_005,az_006,az_007,az_008,az_009,ba_000,ba_001,ba_002,ba_003,ba_004,ba_005,ba_006,ba_007,ba_008,ba_009,bb_000,bc_000,bd_000,be_000,bf_000,bg_000,bh_000,bi_000,bj_000,bk_000,bl_000,bm_000,bs_000,bt_000,bu_000,bv_000,bx_000,by_000,bz_000,ca_000,cb_000,cc_000,cd_000,ce_000,cf_000,cg_000,ch_000,ci_000,cj_000,ck_000,cl_000,cm_000,cn_000,cn_001,cn_002,cn_003,cn_004,cn_005,cn_006,cn_007,cn_008,cn_009,co_000,cp_000,cq_000,cs_000,cs_001,cs_002,cs_003,cs_004,cs_005,cs_006,cs_007,cs_008,cs_009,ct_000,cu_000,cv_000,cx_000,cy_000,cz_000,da_000,db_000,dc_000,dd_000,de_000,df_000,dg_000,dh_000,di_000,dj_000,dk_000,dl_000,dm_000,dn_000,do_000,dp_000,dq_000,dr_000,ds_000,dt_000,du_000,dv_000,dx_000,dy_000,dz_000,ea_000,eb_000,ec_00,ed_000,ee_000,ee_001,ee_002,ee_003,ee_004,ee_005,ee_006,ee_007,ee_008,ee_009,ef_000,eg_000
neg,8,0,0,0,0,0,0,0,10,9930,1052,1902,0,0,0,3010,0,96,0,2686,4450,19978,19840,6922,796,0,0,0,0,26,20,0,0,0,0,0,0,0,9064,3830,0,54,4,6,138,842,124,8902,124,2700,0,11660,282,78,42,38,40,24,374,172,184,29614,2,8,0,0,3010,160,3548,3292,,,,6800,7.82,29614,29614,30608,34,6,2850,29420,12944,1209600,294,2,8,0,2133.12,0.0,9797.76,0,8,0,0,10058,516,1340,694,286,0,0,0,4,4,29614,1054,8,20,8,64,5318,6002,402,18,0,0,20,2110,56,0,6,0,0,2418,54,54,0,0,0,0,0,0,0,0,244,0,0,0,0,62,18,5480,556,0,24,0,0,0,0.64,38,11076,1664,30,18,66,40,0,0,0,0,0,0
neg,716,2130706436,38,0,0,0,0,0,0,70,3464,23354,23298,0,0,22598,0,0,0,0,0,60466,55110,6952,2316,0,0,0,0,28,38,0,0,0,0,0,0,23724,26462,0,0,518,324,218,394,2772,45960,0,0,0,0,31526,16720,1802,102,34,2,0,0,0,0,67436,0,4,114,0,22598,548,2542,4386,,,,6720,715.77,67436,67436,69604,136,0,6558,67160,50186,1209600,1280,2,4,0,39398.4,0.0,10684.8,10,40,0,0,0,988,10112,29766,8390,800,114,16,0,6,67436,230,42,2438,2734,1582,20898,21278,972,12,0,58,30,40224,23624,0,2,0,0,40256,104,16,0,0,0,0,0,0,0,0,412,70,22,0,0,584,154,251020,25078,0,0,0,0,0,99.46,78,11640,6922,1664,798,3600,25178,352,32,0,0,0,0
neg,1280,16,16,0,0,0,0,0,0,96,25800,53228,26,0,0,37372,0,0,0,0,0,76070,70326,10984,3312,0,0,0,0,18,12,0,0,0,0,0,0,44692,5100,29358,0,86,16,24,32,1416,77460,116,0,0,0,29998,36752,8680,2718,700,222,56,24,0,0,87090,0,80,198,0,37372,712,5788,5168,,,,10780,1279.98,87090,87090,89600,260,382,8530,86880,79150,1209600,1812,0,0,0,69792.96,0,9268.8,0,0,0,0,0,5112,67128,6482,318,102,8,0,0,4,87090,164,14,142,6148,1832,13198,55386,1924,330,12,28,70,70274,25128,0,66,0,50,70790,90,50,0,0,0,0,0,0,0,0,364,378,108,0,0,1888,404,1320,1098,0,0,0,0,280000,68.6,62,10328,11262,3844,2660,10890,34346,4532,1048,240,0,0,0
pos,1039540,0,,0,0,360,928,2208,11234,933916,22697772,38085814,8311830,244990,606,35281108,45198,40,0,2708,5298,51991454,37541726,22456018,13198958,0,0,0,0,0,0,0,0,0,0,0,1572676,33574834,13760220,21381928,0,46596,36268,60724,134894,23892488,46116782,1818,72,10,6,29930334,12761134,5750730,4029236,3242310,3984184,8627272,1964360,98,0,74459470,0,986,2748,10570,35281108,1531404,8322852,14036412,478840,380120,450100,282260,1039539.56,74459470,74459470,73441172,391724,8687736,79856,553700,70289658,1209600,0,,,,55390794.24,0.0,14836592.64,0,0,0,0,52822,6735022,34863242,24451388,3850848,278794,56058,1484,,0,74459470,55432,10302,6293240,6161010,5650886,45287598,6753512,77664,14,0,,,,,,,,,,56174,2766,0,0,0,0,0,0,0,0,1004668,837716,214646,0,0,2420822,587934,45419880,15920976,0,0,0,0,881107750,22498.94,25384,15385798,9836828,5667176,3225390,7337668,7658368,8272416,6233468,6543798,128748,0,0
neg,42540,266,194,0,0,0,0,0,0,1262,68584,1885510,851980,94748,6150,1397254,0,0,0,0,0,2526614,2225112,456690,254430,0,0,0,0,512,102,0,0,0,0,0,19312,337396,1910882,640644,0,2832,892,1322,13010,1978190,910588,1400,0,0,0,1112400,692512,299452,222730,178236,235894,167010,0,0,0,2983786,560,144,1254,6,1397254,43588,175392,279666,175200,192380,,83820,42539.16,2983786,2983786,2980954,16605,174326,52830,559680,2908234,1209600,107948,0,136,0,2344368.96,0.0,560400.96,0,0,0,0,0,12408,779440,1618194,465952,27658,4454,128,142,152,2983786,5054,522,78408,436992,152634,1202070,1021060,11192,302,0,398,274,2047294,136932,48,554,0,0,2379468,2580,526,0,0,0,0,0,0,0,0,20220,40886,7782,0,0,107222,19478,242100,199610,0,0,0,0,41539150,980.9,1064,588554,544738,299108,121142,227392,182132,215974,282616,415992,30586,0,0
neg,1044,20,16,0,0,0,0,0,42740,34172,19736,10780,0,0,0,35232,0,0,0,16060,24566,77226,75956,39622,6836,0,0,0,0,126,12,0,0,0,0,0,0,0,9756,97266,406,1222,130,198,220,1014,104644,0,0,0,0,51408,20040,19926,10932,2924,934,352,708,144,60,133032,18,30,14,4,35232,1028,16350,21310,,,,38260,1043.96,133032,133032,133074,427,0,12644,131940,107428,1209600,2206,8,18,0,57595.2,28790.4,19465.92,0,74,0,31296,42720,20406,11914,1070,22,0,0,0,22,26,133032,1164,48,1686,9008,13580,72634,9308,0,0,0,18,16,57412,1916,0,0,0,0,61326,226,66,0,0,0,28802,0,0,0,0,1394,30,6,0,0,1620,292,2180,216,0,0,0,0,43960,150.76,180,50478,9930,6788,2642,8160,14702,10614,4106,8,0,0,0
neg,6732,26,26,70,126,0,0,0,658,342054,62798,2188,0,0,0,133500,0,26,0,14398,24184,367792,339402,147698,27176,0,0,0,0,56,244,0,0,0,0,0,0,35458,232616,139624,0,490,240,366,566,1622,96268,302686,5460,0,0,202246,87102,33060,19264,14718,11720,8452,7426,4390,19320,530074,152,310,1314,4,133500,4648,101994,45302,,,,146460,6731.71,530074,530074,524546,1977,0,52120,528840,408054,1209600,10536,2,28,0,345930.24,0,60774.72,20,138,0,0,26628,88768,173116,75594,32010,11386,196,0,0,16,530074,1600,114,18904,25878,9752,291030,57690,2672,58,0,26,384,351628,242102,0,2,0,0,351838,566,134,0,0,0,0,0,0,0,0,2780,234,100,320962,64552,6392,1394,2167220,216928,232766,972,0,0,0,349.24,294,65168,51324,22914,10592,25264,41700,184092,6474,156,14,0,0
neg,42984,510,418,0,0,0,0,0,0,192,304380,1864686,529864,29232,552,1151412,0,0,0,0,0,2328116,1868184,779782,404440,0,0,0,0,1544,310,0,0,0,0,0,44088,1250534,1176376,257908,0,2234,1572,2570,19874,1946304,756268,84,0,0,0,850646,588810,244464,190156,157814,140576,168662,385400,2378,0,3108312,56,82,686,6,1151412,39272,560608,215340,332600,281040,,160240,42983.16,3108312,3108312,3111238,21045,27548,65704,683580,2728906,1209600,91316,0,110,0,2463327.36,0.0,263958.72,0,0,0,0,0,39640,713666,1633236,324356,14390,3406,212,28,42,3108312,3316,462,35574,154926,69784,1518136,920558,25830,320,0,768,938,2047680,54096,20,324,0,0,2489692,1486,106,0,0,0,0,0,0,0,0,24782,37208,7812,0,0,95844,15244,1128200,327768,0,0,0,0,41983230,938.54,972,277118,512150,363360,179884,400836,399892,383184,175924,36558,0,0,0
neg,1378,20,20,0,0,0,0,0,0,152,38062,44686,0,0,0,42340,0,0,0,0,0,78502,68960,19522,4498,0,0,0,0,26,48,0,0,0,0,0,0,0,8758,74142,0,1276,248,172,328,1268,79604,4,0,0,0,25230,36818,14310,3548,1350,712,402,502,28,0,98074,12,122,0,0,42340,972,9648,9586,,,,18960,1377.32,98074,98074,97124,410,0,9416,97600,82900,1209600,1604,0,4,0,66034.56,0.0,15802.56,24064,,0,0,0,17594,55212,10022,72,0,0,0,8,14,98074,1070,30,3220,6098,15506,56482,494,0,0,0,32,144,66542,40454,0,0,0,0,67636,120,142,0,0,0,0,0,0,0,0,648,540,76,0,0,2220,340,60,6,0,0,0,0,377340,0,0,17402,8176,4162,1826,4088,3626,2438,40806,376,0,0,0
neg,916,2130706434,14,0,0,0,0,0,0,6844,40326,2902,0,0,0,20100,0,0,0,778,1134,43410,38936,12946,2938,0,0,0,0,4,22,0,0,0,0,0,0,0,6450,43622,0,66,2,10,636,278,16240,32840,0,0,0,22854,17526,6258,1258,532,300,576,218,234,316,57138,2,10,628,0,20100,298,5820,6916,,,,12660,915.71,57138,57138,57342,240,0,5554,56920,50252,1209600,958,2,8,0,41958.72,0,7365.12,0,18,0,0,676,10142,18972,19162,1016,104,0,0,10,14,57138,968,4,834,1806,980,10062,32552,2852,14,0,44,54,42682,34512,0,0,0,0,42682,64,58,0,0,0,0,0,0,0,0,294,48,6,11700,3726,324,70,201200,20126,724,4,0,0,0,0.74,46,8482,3562,1354,778,2976,5360,2514,24900,146,0,0,0
